Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1950-12-21 00:00:00;2,534;21;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-22 00:00:00;2,364;22;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-23 00:00:00;2,47;23;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-24 00:00:00;2,325;24;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-25 00:00:00;2,154;25;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-26 00:00:00;2,107;26;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-27 00:00:00;2,193;27;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-28 00:00:00;2,377;28;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-29 00:00:00;2,339;29;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-30 00:00:00;2,105;30;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1950-12-31 00:00:00;2,012;31;12;1950;1950;Winter;12;0,62;1,34;2,7;9,21;12,71
1951-01-01 00:00:00;1,872;1;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-02 00:00:00;2,091;2;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-03 00:00:00;2,307;3;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-04 00:00:00;2,166;4;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-05 00:00:00;2,631;5;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-06 00:00:00;3,307;6;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-07 00:00:00;2,533;7;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-08 00:00:00;2,46;8;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-09 00:00:00;3,3;9;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
1951-01-10 00:00:00;3,094;10;1;1951;1950;Winter;1;0,62;1,34;2,7;9,21;12,71
