,Jahr,RSK_Fruehling,RSK_Sommer,RSK_Herbst,RSK_Winter,RSK_Fruehling_RCP8.5_Minimum,RSK_Fruehling_RCP8.5_Median,RSK_Fruehling_RCP8.5_Maximum,RSK_Fruehling_RCP4.5_Minimum,RSK_Fruehling_RCP4.5_Median,RSK_Fruehling_RCP4.5_Maximum,RSK_Fruehling_RCP2.6_Minimum,RSK_Fruehling_RCP2.6_Median,RSK_Fruehling_RCP2.6_Maximum,RSK_Sommer_RCP8.5_Minimum,RSK_Sommer_RCP8.5_Median,RSK_Sommer_RCP8.5_Maximum,RSK_Sommer_RCP4.5_Minimum,RSK_Sommer_RCP4.5_Median,RSK_Sommer_RCP4.5_Maximum,RSK_Sommer_RCP2.6_Minimum,RSK_Sommer_RCP2.6_Median,RSK_Sommer_RCP2.6_Maximum,RSK_Herbst_RCP8.5_Minimum,RSK_Herbst_RCP8.5_Median,RSK_Herbst_RCP8.5_Maximum,RSK_Herbst_RCP4.5_Minimum,RSK_Herbst_RCP4.5_Median,RSK_Herbst_RCP4.5_Maximum,RSK_Herbst_RCP2.6_Minimum,RSK_Herbst_RCP2.6_Median,RSK_Herbst_RCP2.6_Maximum,RSK_Winter_RCP8.5_Minimum,RSK_Winter_RCP8.5_Median,RSK_Winter_RCP8.5_Maximum,RSK_Winter_RCP4.5_Minimum,RSK_Winter_RCP4.5_Median,RSK_Winter_RCP4.5_Maximum,RSK_Winter_RCP2.6_Minimum,RSK_Winter_RCP2.6_Median,RSK_Winter_RCP2.6_Maximum
14,1983.0,10.0,8.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
15,1984.0,10.0,7.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
16,1985.0,10.0,7.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
17,1986.0,,,,,9.922727272727272,9.988636363636363,10.06060606060606,9.953030303030303,9.987878787878788,10.030303030303031,9.951515151515151,9.996969696969696,10.075757575757576,6.8969696969696965,7.034848484848485,7.106060606060606,6.983333333333333,7.031818181818182,7.124242424242424,7.048484848484849,7.03030303030303,7.109090909090909,9.922727272727272,10.01969696969697,10.106060606060606,9.984848484848484,10.034848484848485,10.083333333333334,9.953030303030303,10.030303030303031,10.092424242424242,11.887878787878789,11.984848484848484,12.084848484848484,11.93939393939394,11.981818181818182,12.056060606060607,11.954545454545455,11.981060606060606,12.075757575757576
18,1987.0,,,,,9.845454545454546,9.977272727272727,10.121212121212121,9.906060606060606,9.975757575757576,10.06060606060606,9.903030303030302,9.993939393939394,10.151515151515152,6.793939393939394,7.069696969696969,7.212121212121212,6.966666666666667,7.0636363636363635,7.248484848484848,7.096969696969697,7.0606060606060606,7.218181818181818,9.845454545454546,10.039393939393939,10.212121212121213,9.969696969696969,10.06969696969697,10.166666666666666,9.906060606060606,10.06060606060606,10.184848484848485,11.775757575757575,11.969696969696969,12.16969696969697,11.878787878787879,11.963636363636363,12.112121212121211,11.909090909090908,11.962121212121213,12.151515151515152
19,1988.0,,,,,9.768181818181818,9.965909090909092,10.181818181818182,9.85909090909091,9.963636363636363,10.090909090909092,9.854545454545455,9.99090909090909,10.227272727272727,6.690909090909091,7.1045454545454545,7.318181818181818,6.95,7.095454545454546,7.372727272727273,7.1454545454545455,7.090909090909091,7.327272727272727,9.768181818181818,10.059090909090909,10.318181818181818,9.954545454545455,10.104545454545455,10.25,9.85909090909091,10.090909090909092,10.277272727272727,11.663636363636364,11.954545454545455,12.254545454545454,11.818181818181818,11.945454545454545,12.168181818181818,11.863636363636363,11.943181818181818,12.227272727272727
20,1989.0,,,,,9.690909090909091,9.954545454545455,10.242424242424242,9.812121212121212,9.951515151515151,10.121212121212121,9.806060606060607,9.987878787878788,10.303030303030303,6.587878787878788,7.13939393939394,7.424242424242424,6.933333333333334,7.127272727272727,7.496969696969697,7.193939393939394,7.121212121212121,7.4363636363636365,9.690909090909091,10.078787878787878,10.424242424242424,9.93939393939394,10.139393939393939,10.333333333333334,9.812121212121212,10.121212121212121,10.36969696969697,11.55151515151515,11.93939393939394,12.33939393939394,11.757575757575758,11.927272727272728,12.224242424242425,11.818181818181818,11.924242424242424,12.303030303030303
21,1990.0,,,,,9.613636363636363,9.943181818181818,10.303030303030303,9.765151515151516,9.93939393939394,10.151515151515152,9.757575757575758,9.984848484848484,10.378787878787879,6.484848484848484,7.174242424242424,7.53030303030303,6.916666666666667,7.159090909090909,7.621212121212121,7.242424242424242,7.151515151515151,7.545454545454545,9.613636363636363,10.098484848484848,10.530303030303031,9.924242424242424,10.174242424242424,10.416666666666666,9.765151515151516,10.151515151515152,10.462121212121213,11.43939393939394,11.924242424242424,12.424242424242424,11.696969696969697,11.909090909090908,12.28030303030303,11.772727272727273,11.905303030303031,12.378787878787879
22,1991.0,,,,,9.536363636363637,9.931818181818182,10.363636363636363,9.718181818181819,9.927272727272728,10.181818181818182,9.709090909090909,9.981818181818182,10.454545454545455,6.381818181818182,7.209090909090909,7.636363636363637,6.9,7.1909090909090905,7.745454545454545,7.290909090909091,7.181818181818182,7.654545454545454,9.536363636363637,10.118181818181819,10.636363636363637,9.909090909090908,10.209090909090909,10.5,9.718181818181819,10.181818181818182,10.554545454545455,11.327272727272728,11.909090909090908,12.50909090909091,11.636363636363637,11.89090909090909,12.336363636363636,11.727272727272727,11.886363636363637,12.454545454545455
23,1992.0,,,,,9.459090909090909,9.920454545454545,10.424242424242424,9.671212121212122,9.915151515151516,10.212121212121213,9.66060606060606,9.978787878787879,10.530303030303031,6.278787878787879,7.243939393939394,7.742424242424242,6.883333333333334,7.222727272727273,7.869696969696969,7.339393939393939,7.212121212121212,7.763636363636364,9.459090909090909,10.137878787878789,10.742424242424242,9.893939393939394,10.243939393939394,10.583333333333334,9.671212121212122,10.212121212121213,10.646969696969697,11.215151515151515,11.893939393939394,12.593939393939394,11.575757575757576,11.872727272727273,12.392424242424243,11.681818181818182,11.867424242424242,12.530303030303031
