,Jahr,MO_RR_Jahr,RSK,MO_RR_Sommer,MO_RR_Winter,MO_RR_Jahr_RCP8.5_Minimum,MO_RR_Jahr_RCP8.5_Median,MO_RR_Jahr_RCP8.5_Maximum,MO_RR_Jahr_RCP4.5_Minimum,MO_RR_Jahr_RCP4.5_Median,MO_RR_Jahr_RCP4.5_Maximum,MO_RR_Jahr_RCP2.6_Minimum,MO_RR_Jahr_RCP2.6_Median,MO_RR_Jahr_RCP2.6_Maximum,MO_RR_Sommer_RCP8.5_Minimum,MO_RR_Sommer_RCP8.5_Median,MO_RR_Sommer_RCP8.5_Maximum,MO_RR_Sommer_RCP4.5_Minimum,MO_RR_Sommer_RCP4.5_Median,MO_RR_Sommer_RCP4.5_Maximum,MO_RR_Sommer_RCP2.6_Minimum,MO_RR_Sommer_RCP2.6_Median,MO_RR_Sommer_RCP2.6_Maximum,MO_RR_Winter_RCP8.5_Minimum,MO_RR_Winter_RCP8.5_Median,MO_RR_Winter_RCP8.5_Maximum,MO_RR_Winter_RCP4.5_Minimum,MO_RR_Winter_RCP4.5_Median,MO_RR_Winter_RCP4.5_Maximum,MO_RR_Winter_RCP2.6_Minimum,MO_RR_Winter_RCP2.6_Median,MO_RR_Winter_RCP2.6_Maximum,RSK_RCP8.5_Minimum,RSK_RCP8.5_Median,RSK_RCP8.5_Maximum,RSK_RCP4.5_Minimum,RSK_RCP4.5_Median,RSK_RCP4.5_Maximum,RSK_RCP2.6_Minimum,RSK_RCP2.6_Median,RSK_RCP2.6_Maximum
12,1984.0,770.0,232.0,210.0,193.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0
13,1985.0,774.0,231.0,208.0,195.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0
14,1986.0,,,,,772.968,774.4456363636364,776.0288181818182,773.6364545454545,774.3400909090909,775.0671818181818,772.8741818181818,774.1055454545454,775.032,207.30036363636364,207.94642424242423,208.84460606060605,207.2499393939394,208.0409696969697,208.19854545454547,207.33818181818182,207.91175757575758,208.5609696969697,194.84636363636363,195.26,196.1109090909091,194.83159090909092,195.21568181818182,195.4934090909091,194.8109090909091,195.08272727272728,195.4875,230.7348484848485,231.01666666666668,231.26666666666668,230.91969696969696,231.03181818181818,231.13636363636363,230.88484848484848,231.04545454545453,231.20606060606062
15,1987.0,,,,,771.936,774.8912727272727,778.0576363636363,773.2729090909091,774.6801818181818,776.1343636363637,771.7483636363636,774.2110909090909,776.064,206.60072727272728,207.89284848484849,209.6892121212121,206.4998787878788,208.0819393939394,208.3970909090909,206.67636363636365,207.82351515151515,209.12193939393939,194.69272727272727,195.52,197.22181818181818,194.6631818181818,195.43136363636364,195.9868181818182,194.62181818181818,195.16545454545454,195.975,230.46969696969697,231.03333333333333,231.53333333333333,230.83939393939394,231.06363636363636,231.27272727272728,230.76969696969698,231.0909090909091,231.4121212121212
16,1988.0,,,,,770.904,775.3369090909091,780.0864545454546,772.9093636363637,775.0202727272728,777.2015454545455,770.6225454545455,774.3166363636363,777.096,205.9010909090909,207.83927272727271,210.5338181818182,205.74981818181817,208.1229090909091,208.59563636363637,206.01454545454544,207.73527272727273,209.68290909090908,194.5390909090909,195.78,198.33272727272728,194.49477272727273,195.64704545454546,196.48022727272726,194.43272727272728,195.24818181818182,196.4625,230.20454545454547,231.05,231.8,230.7590909090909,231.09545454545454,231.4090909090909,230.65454545454546,231.13636363636363,231.61818181818182
17,1989.0,,,,,769.872,775.7825454545455,782.1152727272728,772.5458181818182,775.3603636363637,778.2687272727272,769.4967272727273,774.4221818181818,778.128,205.20145454545454,207.78569696969697,211.37842424242424,204.99975757575757,208.1638787878788,208.7941818181818,205.35272727272726,207.6470303030303,210.2438787878788,194.38545454545454,196.04,199.44363636363636,194.32636363636362,195.86272727272728,196.97363636363636,194.24363636363637,195.3309090909091,196.95,229.93939393939394,231.06666666666666,232.06666666666666,230.6787878787879,231.12727272727273,231.54545454545453,230.53939393939393,231.1818181818182,231.8242424242424
18,1990.0,,,,,768.84,776.2281818181818,784.1440909090909,772.1822727272727,775.7004545454546,779.3359090909091,768.3709090909091,774.5277272727272,779.16,204.50181818181818,207.7321212121212,212.2230303030303,204.24969696969697,208.2048484848485,208.99272727272728,204.6909090909091,207.55878787878788,210.8048484848485,194.23181818181817,196.3,200.55454545454546,194.15795454545454,196.0784090909091,197.46704545454546,194.05454545454546,195.41363636363636,197.4375,229.67424242424244,231.08333333333334,232.33333333333334,230.59848484848484,231.1590909090909,231.6818181818182,230.42424242424244,231.22727272727272,232.03030303030303
19,1991.0,,,,,767.808,776.6738181818182,786.1729090909091,771.8187272727273,776.0405454545455,780.4030909090909,767.2450909090909,774.6332727272727,780.192,203.80218181818182,207.67854545454546,213.06763636363635,203.49963636363637,208.24581818181818,209.19127272727272,204.0290909090909,207.47054545454546,211.36581818181818,194.07818181818183,196.56,201.66545454545454,193.98954545454546,196.2940909090909,197.96045454545455,193.86545454545455,195.49636363636364,197.925,229.4090909090909,231.1,232.6,230.51818181818183,231.1909090909091,231.8181818181818,230.3090909090909,231.27272727272728,232.23636363636365
20,1992.0,,,,,766.776,777.1194545454546,788.2017272727272,771.4551818181818,776.3806363636363,781.4702727272727,766.1192727272727,774.7388181818181,781.224,203.10254545454546,207.62496969696969,213.91224242424244,202.74957575757577,208.2867878787879,209.38981818181819,203.36727272727273,207.38230303030304,211.92678787878788,193.92454545454547,196.82,202.77636363636364,193.82113636363636,196.50977272727272,198.45386363636365,193.67636363636365,195.57909090909092,198.4125,229.1439393939394,231.11666666666667,232.86666666666667,230.4378787878788,231.22272727272727,231.95454545454547,230.1939393939394,231.3181818181818,232.44242424242424
21,1993.0,,,,,765.744,777.5650909090909,790.2305454545454,771.0916363636363,776.7207272727272,782.5374545454546,764.9934545454546,774.8443636363636,782.256,202.4029090909091,207.57139393939394,214.7568484848485,201.99951515151514,208.32775757575757,209.58836363636362,202.70545454545456,207.2940606060606,212.48775757575757,193.7709090909091,197.08,203.88727272727272,193.65272727272728,196.72545454545454,198.94727272727272,193.48727272727274,195.66181818181818,198.9,228.87878787878788,231.13333333333333,233.13333333333333,230.35757575757575,231.25454545454545,232.0909090909091,230.0787878787879,231.36363636363637,232.64848484848486
22,1994.0,,,,,764.712,778.0107272727273,792.2593636363637,770.728090909091,777.0608181818181,783.6046363636364,763.8676363636364,774.949909090909,783.288,201.70327272727272,207.51781818181817,215.60145454545454,201.24945454545454,208.36872727272728,209.7869090909091,202.04363636363635,207.2058181818182,213.04872727272726,193.61727272727273,197.34,204.99818181818182,193.48431818181817,196.94113636363636,199.44068181818182,193.29818181818183,195.74454545454546,199.3875,228.61363636363637,231.15,233.4,230.27727272727273,231.28636363636363,232.22727272727272,229.96363636363637,231.4090909090909,232.85454545454544
